Designator,Mid X,Mid Y,Rotation,Layer
C1,21.0,-58.0,0.0,top
C12,40.0375,-56.5,0.0,top
C13,31.4625,-56.5,0.0,top
D1,29.0,-80.0,0.0,top
J1,23.82,-49.075,180.0,top
R1,26.0925,-55.5,0.0,top
R10,43.5,-56.0,0.0,top
R2,21.5,-55.5,180.0,top
R3,24.0,-55.5,0.0,top
R6,23.5,-56.5,0.0,top
R7,35.0925,-56.0,0.0,top
R8,47.4075,-56.0,180.0,top
R9,45.4075,-56.0,180.0,top
U1,43.575,-77.275,0.0,top
U2,25.6,-68.0,0.0,top
U3,43.575,-64.775,0.0,top
U4,40.0,-50.5,90.0,top
